Number,Finnish,English,Examples
0001,ja,and,"Ja?
and?

Ja sitten?
and then?

Ja vitut!
Fuck that!

Satoi ja satoi.
It rained and rained.

Eleme ja kuolema?
Life and death?

Tehty ja koettu.
I've been there and done that.

Värttinä ja rukinlapa.
The spindle and the distaff.

Huomenta ja tervetuloa!
Good morning and welcome!

Ja niin edespäin.
And so on and so forth.

Ja niin edelleen.
And so on."
0002,että,that,"Ette.
No.

Tajusin, että...
I'd realised that...

Ettekö lähde?
Won't you go?

Ettekö mene?
Won't you go?

Etkö laula?
Aren't you going to sing?

Ettekö käsitä?
Don't you get it?

Että kehtaakin!
What a nerve!

Että julkenetkin!
How dare you!

Etkö tupakoi?
Don't you smoke?"
0003,ei,No,"Ei!
No!

Ei ongelmaa!
No problem!

Ei huolta!
Don't worry!

Ei aavistustakaan.
I have no idea.

Ei vastausta.
There was no answer.

Ei läpikulkua.
No passage this way.

Ei ongelmaa.
There are no problems.

Ei ongelmia.
There are no problems.

Ei hätää.
There are no problems."
0004,se,it,"Ignooraa se.
Ignore her.

Osta se.
Buy it!

Se riittänee.
That would be sufficient.

Jättäkää se.
Leave it behind.

Jätä se.
Leave it behind.

Se tavallinen.
I'll have the usual.

Unohdetaan se!
Let's forget it!

Unohda se!
Forget it!

Se nousee.
I'm going upstairs.

Se kutitti.
It tickled."
0005,oli,was,"Olit täydellinen.
You were perfect.

Olit väärässä.
You were mistaken.

Olimme oikeassa.
We were right.

Olimme hengenvaarassa.
We were in danger of losing our lives.

Olitko kännissä?
Is it done?

Olitko kateellinen?
Were you jealous?

Olitko kotona?
Were you home?

Olitko vakavissasi?
Were you serious?

Oli joulu.
It was Christmas.

Olitko hermostunut?
Were you nervous?"
0006,mutta,but,"Kiitti mutsi.
Thanks, Mom.

Mutta miksi?
But why?

Anteeksi, mutta...
I'm sorry.

Mutta lopulta nukahdin.
However, I finally fell asleep.

Mutta minä kieltäydyn.
But I refuse.

Ei, mutta janottaa.
No, but I'm thirsty.

Anteeksi, mutten ymmärrä.
Sorry, I don't understand.

Ei mitään muttia!
No buts!

Jatka, mutta suomeksi.
Go on, but in Finnish.

Hitaasti mutta varmasti.
Haste makes waste."
0007,kun,when,"Kunnia Ukrainalle!
Glory to Ukraine!

Kunhan ärsytin.
I was just teasing.

Kunhan vitsailen.
I am only joking.

Kunhan katselemme.
We're just looking around.

Kunhan huijasin.
I'm just fucking with you.

Kunhan kusetin.
I'm just fucking with you.

Kun lehmät lentävät!
When pigs fly!

Ymmärrät kun näet.
You'll know it when you see it.

Kunpa olisin nuorempi.
I wish I were younger.

Soitan kun saavun.
I'll phone you when I arrive."
0008,niin,so,"Niinpä!
Indeed!

Niin?
So?

Niinkö?
Is that so?

Niin väsynyttä!
So tired!

Niin väsynyt!
So tired!

Niin romanttista!
How romantic!

Just niin!
Right on!

Miksi niin?
Why?

Vaikka niin.
Whatever.

Niin kai.
Whatever."
0009,voi,can,"Voi raukkaa!
Poor thing!

Voi kissaraukka.
Poor cat.

Oi voi.
What a pity!

Voi piru!
For fuck's sake!

Voi helvetti!
For fuck's sake!

Voi kissaparkaa.
Poor cat.

Voi kissaparka.
Poor cat.

Oi voi…
Oh boy...

Voi hitsi…
Oh boy...

Voi vitsi…
Oh boy..."
0010,olen,I am,"Olen.
I am.

Olen!
I am!

Olen professori.
I'm a teacher.

Olen japaninamerikkalainen.
I'm Japanese-American.

Olen turkkilainen.
I'm Turkish.

Olet laulaja.
You are a singer.

Oletko palannut?
You've come back?

Olen yhteistyökykyinen.
I'm cooperative.

Olen alasti.
I'm naked.

Olet vakooja.
You're a spy."
